,Unnamed: 0,title,company,location,salary,summary
147,25,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
148,26,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
149,27,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
150,28,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
151,29,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
152,30,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
153,31,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
154,32,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
155,33,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
156,34,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
157,35,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
158,36,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
159,37,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
160,38,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
161,39,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
162,40,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
163,41,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
164,42,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
165,43,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
166,44,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
167,45,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
168,46,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
169,47,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
170,48,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
171,49,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
172,50,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
173,51,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
174,52,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
175,53,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
176,54,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
177,55,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
178,56,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
179,57,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
180,58,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
181,59,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
182,60,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
183,61,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
184,62,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
185,63,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
186,64,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
187,65,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
188,66,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
189,67,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
190,68,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
191,69,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
192,70,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
193,71,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
194,72,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
195,73,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
196,74,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
197,75,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
198,76,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
199,77,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
200,78,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
201,79,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
202,80,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
203,81,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
204,82,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
205,83,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
206,84,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
207,85,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
208,86,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
209,87,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
210,88,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
211,89,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
212,90,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
213,91,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
214,92,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
215,93,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
216,94,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
217,95,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
218,96,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
219,97,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
220,98,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
221,99,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
222,100,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
223,101,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
224,102,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
225,103,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
226,104,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
227,105,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
228,106,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
229,107,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
230,108,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
231,109,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
232,110,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
233,111,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
234,112,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
235,113,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
236,114,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
237,115,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
238,116,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
239,117,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
240,118,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
241,119,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
242,120,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
243,121,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
244,122,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
245,123,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
246,124,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
247,125,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
248,126,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
249,127,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
250,128,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
251,129,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
252,130,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
253,131,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
254,132,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
255,133,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
256,134,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
257,135,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
258,0,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Microsoft’s Global Demand Center (GDC) is responsible for driving…"
259,1,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
260,2,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
261,3,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.In this position, you’ll have a significant impact on…"
262,4,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
263,5,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
264,6,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Microsoft’s Global Demand Center (GDC) is responsible for driving…"
265,7,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
266,8,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
267,9,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.In this position, you’ll have a significant impact on…"
268,10,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
269,11,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
270,12,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Are you a marketing technologist, an expert in implementing and…"
271,13,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
272,14,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,"Zonar Systems is looking for a vibrant, talented Design Technologist who’s interested in helping the UX team at Zonar grow our fledgling DesignOps practice."
273,15,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
274,16,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.Looking for a company that inspires passion, courage…"
275,17,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
276,18,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Microsoft’s Global Demand Center (GDC) is responsible for driving…"
277,19,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
278,20,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
279,21,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.In this position, you’ll have a significant impact on…"
280,22,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
281,23,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
282,24,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Microsoft’s Global Demand Center (GDC) is responsible for driving…"
283,25,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
284,26,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
285,27,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.In this position, you’ll have a significant impact on…"
286,28,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
287,29,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
288,30,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Microsoft’s Global Demand Center (GDC) is responsible for driving…"
289,31,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
290,32,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
291,33,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.In this position, you’ll have a significant impact on…"
292,34,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
293,35,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
294,36,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Microsoft’s Global Demand Center (GDC) is responsible for driving…"
295,37,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
296,38,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
297,39,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.In this position, you’ll have a significant impact on…"
298,40,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
299,41,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
300,42,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Microsoft’s Global Demand Center (GDC) is responsible for driving…"
301,43,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
302,44,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
303,45,Marketing Technologist - Marketo,Microsoft,"Redmond, WA 98052 (Overlake area)",,"Helping to ramp up, train, support and mentor marketing technologists around the company.You will be a lead management SME with capability to build, manage and…"
304,46,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.In this position, you’ll have a significant impact on…"
305,47,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
306,48,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
307,49,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Microsoft’s Global Demand Center (GDC) is responsible for driving…"
